ActivityID,Elapsed Time(sec),Distance(km),ElevationGain(m),AverageGrade(percent),AverageWatts,Type
103,4350,13.71,300.7372131,-0.010208472,103.4493637,MTB
104,8214,16.39,405.3758545,0.01,117.2982101,MTB
105,11196,22.08,468.4280396,0.01,99.31685638,Road
106,6077,6.14,124.414566,-0.011400466,80.37355042,Road
107,16356,31.26,749.2759399,0.01,104.0606613,MTB
108,9847,18.38,425.3424377,0.01,95.44842529,Road
109,5106,13.89,299.9492188,0.005757881,93.3242569,Road
110,11169,23.59,491.1105652,0.004238671,99.50570679,Road
111,3467,9.82,219.7507935,0.01,89.3072052,Road
112,12252,25.22,601.7109985,0.000793015,103.5819473,MTB
113,2989,6.79,52.15081024,-4.120874882,79.98715973,Road
114,5948,15.12,385.8240662,-1.663427114,148.957962,MTB
115,2476,6.99,55.57976151,-3.749321222,83.79299927,Road
116,8547,21.13,261.5204163,-1.772729158,75.06199646,Road
117,4528,6.62,63.25765991,-3.86205864,55.49403381,Road
118,25843,16.78,231.4993591,-2.666253567,72.02761078,Road
119,4399,8.02,142.825882,0.007478872,81.2988739,Road
120,8919,25,571.1489868,0.00119988,92.00665283,Road
121,3448,9.37,166.7633362,-0.001066678,84.14935303,Road
122,13562,25.7,641.5324707,-0.001167202,102.0249176,MTB
123,7725,17.57,401.2523193,0.002275908,84.3719635,Road
124,5548,12.16,199.1359558,-0.169322953,78.95053864,Road
125,6695,15.36,353.0557556,0.000650779,103.0906296,MTB
126,5557,24.64,277.7199097,-0.122928374,105.4905548,MTB
127,5240,24.71,288.4195251,0.108433098,113.2244949,MTB
128,9826,17.38,341.9293213,0.078253567,100.0642166,MTB
129,5283,24.86,307.7055359,-0.11339692,100.6872864,MTB
130,5623,25.61,325.0507813,0.176445335,115.7507095,MTB
131,7873,18.89,503.1777954,0.000529157,101.2674179,MTB
132,4926,24.35,262.5817566,-0.112913162,112.7011185,MTB
133,4864,24.38,294.2165527,0.098843813,126.9423981,MTB
134,10297,22.26,514.6639404,-0.105091549,100.8556519,MTB
135,4701,24.53,259.9421387,-0.105554447,115.3908615,MTB
136,4466,24.52,296.1226196,0.099500462,136.193512,MTB
137,15868,33.89,620.3066406,-0.000294996,104.1927948,MTB
138,10805,26.05,286.9046631,-0.105173461,62.49201202,Road
139,4716,24.41,282.0782776,0.08930254,138.1142883,MTB
140,4452,24.33,251.3933868,-0.129851446,115.6440125,MTB
141,4493,24.74,285.0886536,0.100231178,131.4855804,MTB
142,4472,23.21,260.0879822,-0.092633687,115.6963882,MTB
143,4787,23.55,284.9205322,0.077273518,120.2504272,MTB
144,19115,36.76,817.3571167,-2.534703255,79.00917053,Road
145,7893,18.34,438.381897,0.003815587,98.75411987,Road
146,4502,23.25,259.2778015,-0.069670528,118.7347183,MTB
147,4543,23.39,279.6952515,0.073935732,124.8140717,MTB
148,12768,23.42,511.1306763,0.0046965,83.53665924,Road
149,9575,18.1,428.3861084,-0.001656845,90.36685944,Road
150,4389,23.13,256.5533752,-0.062681288,113.7557373,MTB
151,4506,23.43,278.0227051,0.061031561,123.8184128,MTB
152,6475,15.19,302.5780029,-0.206222154,100.4100635,MTB
153,12053,19.63,440.1954651,-0.090117796,102.8087169,MTB
154,9245,19.09,441.8799133,-0.088696669,102.8380766,MTB
155,9813,20.55,477.7081909,-0.058469261,103.4625585,MTB
156,11044,22.23,550.1079712,0.002612595,104.7244767,MTB
157,10686,19.61,442.3901367,-0.088266207,102.8469697,MTB
158,8287,19.91,401.7201233,-0.122578465,102.138097,MTB
159,12403,21.98,556.9134521,0.008354206,104.8430953,MTB
160,9575,18.26,519.9365845,-0.022842238,104.1985936,MTB
161,11376,20.77,473.1910706,-0.062280241,103.3838257,MTB
162,2169,6.63,47.32527161,-0.421572403,95.96104355,Road
163,2523,6.16,36.35093689,-0.43083117,95.76976241,Road
164,7386,6.27,89.62284851,-0.385887011,96.69828449,Road
165,11828,20.29,183.4580231,-0.306720657,98.33381864,Road
166,4681,6.96,185.0804596,-0.305351848,98.36209749,Road
167,8262,20.42,187.8380585,-0.303025332,98.41016205,Road
168,6885,13.99,118.7651672,-0.361300377,97.20623108,Road
169,9355,18.16,415.8642273,-0.110645443,102.3846267,MTB
170,4943,23.4,244.8525543,-0.25492365,99.40391686,Road
171,4556,23.26,263.4975891,-0.239193307,99.72889724,Road
172,5149,23.1,233.1227264,-0.264819808,99.19946757,Road
173,4786,23.51,262.5597839,-0.23998451,99.71255143,Road
174,8498,20.72,501.4579468,-0.038432195,103.8765135,MTB
175,6103,23.23,232.7656708,-0.265121046,99.19324414,Road
176,4564,24.04,269.8522339,-0.233832055,99.83965783,Road
177,9493,21.29,523.8613892,-0.01953098,104.2670024,MTB
178,4635,23.02,230.6485596,-0.266907199,99.15634319,Road
179,4654,23.75,264.3725281,-0.238455143,99.74414731,Road
180,16417,23.4,243.7823181,-0.255826581,99.38526279,Road
181,4452,23.56,263.9189758,-0.238837794,99.73624196,Road
182,5829,14.31,282.4965515,-0.223164365,100.0600465,MTB
183,3655,9.53,224,-0.27251642,99.04045971,Road
184,4305,22.53,235,-0.263236,99.23218819,Road
185,4259,22.9,271,-0.232863714,99.85966323,Road
186,6573,19.02,497,-0.042193252,103.7988121,MTB
187,6947,13.52,345,-0.170431793,101.149473,MTB
188,4245,22.57,248,-0.25226823,99.4587764,Road
189,5989,19.01,209,-0.28517154,98.77901178,Road
190,5170,22.63,259,-0.242987809,99.65050488,Road
191,10516,19.53,670,0.103762456,106.8141782,MTB
192,10550,23.8,558,0.009270899,104.8620337,MTB
193,4184,21.48,205,-0.288546238,98.70929233,Road
194,4455,22.6,266,-0.237082087,99.77251392,Road
195,4246,21.98,220,-0.275891119,98.97074026,Road
196,4707,22.78,269,-0.234551063,99.82480351,Road
197,4426,22.68,266,-0.237082087,99.77251392,Road
198,4180,22.4,247,-0.253111904,99.44134654,Road
199,2911,14.11,221,-0.275047444,98.98817012,Road
200,962,1.72,34,-0.432814596,95.72878591,Road
201,2567,13.67,197,-0.295295635,98.56985343,Road
202,2203,3.92,85,-0.389787191,96.61770887,Road
203,4071,18.93,291,-0.215990222,100.2082605,MTB
204,6670,16.96,268,-0.235394738,99.80737364,Road
205,3115,17.86,268,-0.235394738,99.80737364,Road
206,3187,18.03,283,-0.222739618,100.0688216,MTB
207,5393,18.06,273,-0.231176364,99.89452295,Road
208,3159,17.72,268,-0.235394738,99.80737364,Road
209,6194,22.11,481,-0.055692046,103.5199343,MTB
210,3057,17.59,271,-0.232863714,99.85966323,Road
211,3151,17.53,253,-0.248049857,99.54592571,Road
212,3164,18.06,283,-0.222739618,100.0688216,MTB
213,1960,3.51,77,-0.396536588,96.47826998,Road
214,3077,17.56,255,-0.246362507,99.58078544,Road
215,2981,17.53,260,-0.242144134,99.66793475,Road
216,2064,4.05,84,-0.390630866,96.60027901,Road
217,7948,44.79,563,0.013489272,104.949183,MTB
218,3012,17.44,261,-0.24130046,99.68536461,Road
219,2933,17.47,247,-0.02174647,153.0530853,MTB
220,8453,16.45,439,0.004861006,111.067215,MTB
221,2889,18.23,270,-0.02742476,167.7461243,MTB
222,2920,17.7,266,0.040671304,163.443573,MTB
223,2887,16.85,242,-0.039167743,161.2814178,MTB
224,3959,24.78,252,-0.066986807,146.9811249,MTB
225,2962,17.2,253,-0.010464569,152.06427,MTB
226,7797,18.59,558,0.029033976,125.2218781,MTB
227,4102,22.68,258,0.32801196,142.703186,MTB
228,5075,22.55,255,0.012413769,157.871109,MTB
229,2836,17.55,259,-0.365661949,159.060379,MTB
230,2763,17.28,269,0.305400014,182.5078888,MTB
231,3050,17.78,266,0.419449866,158.0596771,MTB
