SalePrice(100K),Area,Bedrooms,Bathrooms,CarParks,PropertyType
3.45,239,4,2,2,1
4.05,448,4,2,2,0
4.47,179,3,1,2,1
3.7,320,3,1,1,0
6.6,207,2,2,2,0
4.15,392,3,2,2,0
6.75,588,2,1,1,1
5.05,364,4,2,2,0
22.2,613,3,1,2,0
3.55,569,4,2,2,0
4,420,4,2,2,0
5.01,457,4,2,2,0
3.3,370,4,2,2,0
4.55,920,2,1,1,1
5.55,426,3,2,1,0
5.5,102,3,2,1,1
3.4,198,2,1,1,1
5.2,573,3,1,2,1
4.42,585,4,2,2,0
5.72,292,2,1,1,0
3.85,349,4,2,2,0
3.37,400,3,2,2,0
2.82,564,3,1,2,0
3.45,571,3,2,2,0
2.28,580,3,1,2,0
3.85,313,3,1,1,0
8.71,1062,4,2,2,0
7.5,401,3,1,1,0
4.7,551,3,1,2,0
6.525,669,2,1,2,0
5.225,169,2,1,1,1
6.3525,489,2,1,1,0
6.9,297,3,2,2,1
2.4,178,2,1,1,1
3.7,547,3,2,2,0
4.8,693,4,2,1,0
4.5,1213,3,2,2,0
3.95,788,2,1,1,1
3.9,608,4,2,2,0
3.8,400,4,2,2,0
3.215,216,2,1,1,1
6.1,955,2,2,1,1
3.299,121,2,1,1,0
3.4,467,4,2,2,0
4.35,752,4,2,2,0
3.85,1732,2,1,1,1
3,656,3,1,1,0
3.25,336,3,2,2,0
6.52,3003,2,2,1,1
10.95,865,3,3,3,0
2.77,938,2,1,1,1
4.8,497,3,2,1,1
3.62,697,1,1,1,1
3,2323,1,1,1,1
4.2,399,4,2,2,0
3.58,392,3,2,2,0
3.29,632,3,2,2,0
7.1,271,3,1,1,1
3.25,472,4,2,2,0
4.45,608,4,2,2,0
3.72,399,4,2,2,0
14,759,3,1,1,0
4.62,508,3,1,1,0
4.25,773,4,2,2,0
2.5,54,2,1,1,1
6,409,3,1,1,0
5.55,646,4,3,2,0
12.8,130,2,2,2,0
4.006,2466,2,1,1,1
2.57,1805,2,1,1,1
8.3,715,2,1,2,0
3.3,348,2,1,1,0
3.88,376,3,2,2,0
3.533,577,3,2,1,0
5.375,155,3,2,2,0
2.45,1181,1,1,1,1
3.6,262,3,2,2,1
5.8,160,3,2,1,0
4.4,448,4,2,2,0
12.5,199,2,1,1,1
4.1,400,3,2,2,0
3.25,575,3,1,2,0
5.3,213,3,2,2,0
