CED_NAME16,STATE, yes , yes_perc , no , no_perc , n ,n_clear,n_clear_perc,not_clear,not_clear_perc,non_response,non_response_perc,n_total
Perth,WA,57510,71.5,22967,28.5,80477,80477,80.4,177,0.2,19479,19.5,100133
Stirling,WA,47225,61.1,30060,38.9,77285,77285,78.2,190,0.2,21345,21.6,98820
Swan,WA,49093,64.7,26830,35.3,75923,75923,77.5,185,0.2,21857,22.3,97965
Tangney,WA,48338,61.6,30090,38.4,78428,78428,83.9,174,0.2,14926,16,93528
Bass,TAS,36249,61.7,22510,38.3,58759,58759,79,145,0.2,15487,20.8,74391
Braddon,TAS,30054,54,25573,46,55627,55627,75.8,154,0.2,17632,24,73413
Denison,TAS,45005,73.8,15992,26.2,60997,60997,82.1,167,0.2,13092,17.6,74256
Franklin,TAS,44746,68.8,20322,31.2,65068,65068,82.5,163,0.2,13605,17.3,78836
Lyons,TAS,35894,58.7,25258,41.3,61152,61152,77.9,176,0.2,17204,21.9,78532
Lingiari,NT,19026,54.5,15898,45.5,34924,34924,50,106,0.2,34854,49.9,69884
Solomon,NT,29660,65.3,15792,34.7,45452,45452,66.6,123,0.2,22642,33.2,68217
Canberra,ACT,89590,74.1,31361,25.9,120951,120951,83.1,281,0.2,24399,16.8,145631
Fenner,ACT,85869,74,30159,26,116028,116028,81.4,253,0.2,26196,18.4,142477
